TxHash,BlockNumber,UnixTimestamp,FromAddress,ToAddress,TokenContractAddress,Type,TokenDecimals,TokenSymbol,TokensTransferred,TransactionFee,Status,ErrCode
0x7a37dc76a73e51497b32d39530c1302cdeea64681b1bb23fc7d4c60ab5e3b68c,9105224,2025-08-31 18:17:00.000000Z,0x0000000000000000000000000000000000000000,0x5448c44c2088f43d651dbeAACee99aFf5fEC95c6,0x528d30C3C924D1f684Df9769c3646481B7EA8d4C,IN,18,KA-C,1000000000000000000000000000,1435510331323467,ok,
0xf81ddf9a03cc4a9339e4bcf114fb289984dc722c370064c05d26baf3a37460d7,9105351,2025-08-31 18:42:24.000000Z,0x0000000000000000000000000000000000000000,0x5448c44c2088f43d651dbeAACee99aFf5fEC95c6,0x5587e0E6Faf4B9C6006c0b3a7909EB795715940F,IN,18,KA-C,1000000000000000000000000000,826499039110780,ok,
